time,open,high,low,close
1672948800,1253.7,1254.19,1252.32,1252.73
1672950600,1253.29,1254.05,1253.18,1253.63
1672952400,1253.78,1253.95,1251.58,1252.45
1672954200,1252.28,1253.33,1251.21,1252.36
1672956000,1252.32,1253.13,1251.78,1252.1
1672957800,1252.56,1252.97,1250.52,1250.76
1672959600,1250.92,1252.75,1248.46,1249.87
1672961400,1249.65,1251.92,1249.35,1251.03
1672963200,1251.59,1252.45,1250.27,1252.45
1672965000,1252.66,1258.01,1252.65,1255.24
1672966800,1256.01,1256.01,1254.45,1254.73
1672968600,1254.66,1255.3,1251.23,1251.53
1672970400,1251.45,1251.6,1248.13,1249.75
1672972200,1249.33,1252.1,1249.04,1251.94
1672974000,1251.94,1253.22,1250.66,1253.03
1672975800,1253.29,1253.36,1251.23,1251.36
1672977600,1251.2,1252.52,1249.65,1249.66
1672979400,1249.34,1251.6,1248.74,1250.71
1672981200,1251,1251,1249.07,1249.31
1672983000,1249.3,1249.92,1247.27,1249.02
1672984800,1249.17,1249.17,1247.05,1247.21
1672986600,1247.39,1248.99,1246.01,1247.87
1672988400,1248.16,1248.52,1246.42,1247.97
1672990200,1247.95,1248.12,1247.09,1247.71
1672992000,1248.04,1249.59,1247.96,1249.23
1672993800,1249.23,1250.29,1248.97,1249.58
1672995600,1249.26,1249.26,1246.56,1248.39
1672997400,1248.52,1249.34,1247.09,1249.02
1672999200,1248.46,1249.01,1247.88,1248.21
1673001000,1247.93,1248.62,1245,1245.28
1673002800,1245.24,1246.77,1239.38,1243.22
1673004600,1243.1,1244.63,1241.5,1243.29
1673006400,1243.54,1244.13,1241.74,1242.55
1673008200,1242.47,1244.96,1242.31,1244.16
1673010000,1244.16,1244.23,1239.29,1239.29
1673011800,1239.05,1253.45,1236.13,1250.45
1673013600,1250.72,1251.09,1247.97,1250.68
1673015400,1250.66,1252.91,1245.96,1248.47
1673017200,1248.44,1252.45,1248.43,1250.47
1673019000,1250.68,1264.99,1250.68,1262.9
1673020800,1263.33,1267.96,1260.18,1260.61
1673022600,1260.43,1265.92,1260.12,1264.3
1673024400,1264.47,1269.15,1263.17,1263.84
1673026200,1264.25,1264.71,1261.88,1263.69
